Station,Date,Day,Average_snow_deepth_10years
83024,9-Jun,9-Jun,6
83024,10-Jun,10-Jun,11.9
83024,11-Jun,11-Jun,16.9
83024,12-Jun,12-Jun,23.2
83024,13-Jun,13-Jun,22.3
83024,14-Jun,14-Jun,24.2
83024,15-Jun,15-Jun,25.2
83024,16-Jun,16-Jun,24.3
83024,17-Jun,17-Jun,23.2
83024,18-Jun,18-Jun,23.8
83024,19-Jun,19-Jun,23.2
83024,20-Jun,20-Jun,24.3
83024,21-Jun,21-Jun,22.5
83024,22-Jun,22-Jun,28.3
83024,23-Jun,23-Jun,29.8
83024,24-Jun,24-Jun,35.2
83024,25-Jun,25-Jun,36.5
83024,26-Jun,26-Jun,37.4
83024,27-Jun,27-Jun,43.3
83024,28-Jun,28-Jun,44
83024,29-Jun,29-Jun,43.8
83024,30-Jun,30-Jun,45.3
83024,1-Jul,1-Jul,46.5
83024,2-Jul,2-Jul,48.7
83024,3-Jul,3-Jul,50.1
83024,4-Jul,4-Jul,52.4
83024,5-Jul,5-Jul,55.1
83024,6-Jul,6-Jul,61.4
83024,7-Jul,7-Jul,64.7
83024,8-Jul,8-Jul,68.9
83024,9-Jul,9-Jul,71
83024,10-Jul,10-Jul,72.2
83024,11-Jul,11-Jul,70.9
83024,12-Jul,12-Jul,71.6
83024,13-Jul,13-Jul,75.3
83024,14-Jul,14-Jul,80.6
83024,15-Jul,15-Jul,80.4
83024,16-Jul,16-Jul,80.5
83024,17-Jul,17-Jul,80.8
83024,18-Jul,18-Jul,82.9
83024,19-Jul,19-Jul,83.8
83024,20-Jul,20-Jul,82.1
83024,21-Jul,21-Jul,83
83024,22-Jul,22-Jul,85.5
83024,23-Jul,23-Jul,88.1
83024,24-Jul,24-Jul,87.9
83024,25-Jul,25-Jul,87.9
83024,26-Jul,26-Jul,91.2
83024,27-Jul,27-Jul,92.4
83024,28-Jul,28-Jul,92.9
83024,29-Jul,29-Jul,92.7
83024,30-Jul,30-Jul,89.7
83024,31-Jul,31-Jul,90.5
83024,1-Aug,1-Aug,90
83024,2-Aug,2-Aug,91.9
83024,3-Aug,3-Aug,94
83024,4-Aug,4-Aug,95.7
83024,5-Aug,5-Aug,94.5
83024,6-Aug,6-Aug,96.1
83024,7-Aug,7-Aug,97
83024,8-Aug,8-Aug,99.9
83024,9-Aug,9-Aug,101.6
83024,10-Aug,10-Aug,101.9
83024,11-Aug,11-Aug,103.9
83024,12-Aug,12-Aug,105.2
83024,13-Aug,13-Aug,107.8
83024,14-Aug,14-Aug,107
83024,15-Aug,15-Aug,108.9
83024,16-Aug,16-Aug,108.1
83024,17-Aug,17-Aug,106.9
83024,18-Aug,18-Aug,108.7
83024,19-Aug,19-Aug,106.6
83024,20-Aug,20-Aug,108.5
83024,21-Aug,21-Aug,111
83024,22-Aug,22-Aug,111
83024,23-Aug,23-Aug,111.6
83024,24-Aug,24-Aug,108.8
83024,25-Aug,25-Aug,109
83024,26-Aug,26-Aug,114
83024,27-Aug,27-Aug,113.9
83024,28-Aug,28-Aug,111.9
83024,29-Aug,29-Aug,111.2
83024,30-Aug,30-Aug,107.4
83024,31-Aug,31-Aug,107.8
83024,1-Sep,1-Sep,106.1
83024,2-Sep,2-Sep,105
83024,3-Sep,3-Sep,102.8
83024,4-Sep,4-Sep,100.5
83024,5-Sep,5-Sep,96.8
83024,6-Sep,6-Sep,96.2
83024,7-Sep,7-Sep,95.1
83024,8-Sep,8-Sep,94.7
83024,9-Sep,9-Sep,93.5
83024,10-Sep,10-Sep,89.6
83024,11-Sep,11-Sep,88
83024,12-Sep,12-Sep,87.8
83024,13-Sep,13-Sep,84.4
83024,14-Sep,14-Sep,83.7
83024,15-Sep,15-Sep,79
83024,16-Sep,16-Sep,78.6
83024,17-Sep,17-Sep,75.3
83024,18-Sep,18-Sep,72.9
83024,19-Sep,19-Sep,70.2
83024,20-Sep,20-Sep,68.2
83024,21-Sep,21-Sep,66.2
83024,22-Sep,22-Sep,61.5
85291,9-Jun,9-Jun,6.3
85291,10-Jun,10-Jun,9
85291,11-Jun,11-Jun,12.5
85291,12-Jun,12-Jun,15
85291,13-Jun,13-Jun,15
85291,14-Jun,14-Jun,16.2
85291,15-Jun,15-Jun,16
85291,16-Jun,16-Jun,14.7
85291,17-Jun,17-Jun,9.8
85291,18-Jun,18-Jun,10.1
85291,19-Jun,19-Jun,10.1
85291,20-Jun,20-Jun,11.9
85291,21-Jun,21-Jun,12.4
85291,22-Jun,22-Jun,16.5
85291,23-Jun,23-Jun,15.8
85291,24-Jun,24-Jun,18.7
85291,25-Jun,25-Jun,19.7
85291,26-Jun,26-Jun,20.2
85291,27-Jun,27-Jun,21.5
85291,28-Jun,28-Jun,19.7
85291,29-Jun,29-Jun,21.5
85291,30-Jun,30-Jun,21.4
85291,1-Jul,1-Jul,22
85291,2-Jul,2-Jul,23.5
85291,3-Jul,3-Jul,24.6
85291,4-Jul,4-Jul,24.3
85291,5-Jul,5-Jul,24.3
85291,6-Jul,6-Jul,23.6
85291,7-Jul,7-Jul,24.5
85291,8-Jul,8-Jul,24.3
85291,9-Jul,9-Jul,23.2
85291,10-Jul,10-Jul,24
85291,11-Jul,11-Jul,25.4
85291,12-Jul,12-Jul,25.2
85291,13-Jul,13-Jul,29.2
85291,14-Jul,14-Jul,33.6
85291,15-Jul,15-Jul,35.2
85291,16-Jul,16-Jul,32.6
85291,17-Jul,17-Jul,32.9
85291,18-Jul,18-Jul,38.4
85291,19-Jul,19-Jul,39.7
85291,20-Jul,20-Jul,40.8
85291,21-Jul,21-Jul,41.1
85291,22-Jul,22-Jul,41.2
85291,23-Jul,23-Jul,42.6
85291,24-Jul,24-Jul,43.1
85291,25-Jul,25-Jul,44
85291,26-Jul,26-Jul,44.2
85291,27-Jul,27-Jul,43.7
85291,28-Jul,28-Jul,43.7
85291,29-Jul,29-Jul,42
85291,30-Jul,30-Jul,40.4
85291,31-Jul,31-Jul,39.4
85291,1-Aug,1-Aug,40.3
85291,2-Aug,2-Aug,45.8
85291,3-Aug,3-Aug,46.3
85291,4-Aug,4-Aug,48
85291,5-Aug,5-Aug,48.7
85291,6-Aug,6-Aug,46.6
85291,7-Aug,7-Aug,47.4
85291,8-Aug,8-Aug,46.9
85291,9-Aug,9-Aug,45.7
85291,10-Aug,10-Aug,43.9
85291,11-Aug,11-Aug,45.6
85291,12-Aug,12-Aug,44.7
85291,13-Aug,13-Aug,45.9
85291,14-Aug,14-Aug,45.9
85291,15-Aug,15-Aug,45.2
85291,16-Aug,16-Aug,44
85291,17-Aug,17-Aug,46
85291,18-Aug,18-Aug,44.7
85291,19-Aug,19-Aug,43.2
85291,20-Aug,20-Aug,44.8
85291,21-Aug,21-Aug,46.1
85291,22-Aug,22-Aug,47.2
85291,23-Aug,23-Aug,45.8
85291,24-Aug,24-Aug,44.6
85291,25-Aug,25-Aug,45.9
85291,26-Aug,26-Aug,46.2
85291,27-Aug,27-Aug,46.6
85291,28-Aug,28-Aug,45.5
85291,29-Aug,29-Aug,44.7
85291,30-Aug,30-Aug,42.6
85291,31-Aug,31-Aug,40.5
85291,1-Sep,1-Sep,40.8
85291,2-Sep,2-Sep,39.5
85291,3-Sep,3-Sep,38.6
85291,4-Sep,4-Sep,37.6
85291,5-Sep,5-Sep,32.9
85291,6-Sep,6-Sep,31.9
85291,7-Sep,7-Sep,32
85291,8-Sep,8-Sep,33.9
85291,9-Sep,9-Sep,30.5
85291,10-Sep,10-Sep,30.2
85291,11-Sep,11-Sep,29.3
85291,12-Sep,12-Sep,27.8
85291,13-Sep,13-Sep,27
85291,14-Sep,14-Sep,25
85291,15-Sep,15-Sep,24.1
85291,16-Sep,16-Sep,21.7
85291,17-Sep,17-Sep,17.6
85291,18-Sep,18-Sep,17.8
85291,19-Sep,19-Sep,14.7
85291,20-Sep,20-Sep,14
85291,21-Sep,21-Sep,12.9
85291,22-Sep,22-Sep,12.1
83024,9-Jun,9-Jun,1
83024,10-Jun,10-Jun,2
83024,11-Jun,11-Jun,4
83024,12-Jun,12-Jun,4
83024,13-Jun,13-Jun,5
83024,14-Jun,14-Jun,6
83024,15-Jun,15-Jun,5
83024,16-Jun,16-Jun,5
83024,17-Jun,17-Jun,5
83024,18-Jun,18-Jun,5
83024,19-Jun,19-Jun,4
83024,20-Jun,20-Jun,3
83024,21-Jun,21-Jun,2
83024,22-Jun,22-Jun,5
83024,23-Jun,23-Jun,6
83024,24-Jun,24-Jun,8
83024,25-Jun,25-Jun,10
83024,26-Jun,26-Jun,10
83024,27-Jun,27-Jun,11
83024,28-Jun,28-Jun,10
83024,29-Jun,29-Jun,11
83024,30-Jun,30-Jun,10
83024,1-Jul,1-Jul,10
83024,2-Jul,2-Jul,11
83024,3-Jul,3-Jul,14
83024,4-Jul,4-Jul,14
83024,5-Jul,5-Jul,16
83024,6-Jul,6-Jul,17
83024,7-Jul,7-Jul,21
83024,8-Jul,8-Jul,24
83024,9-Jul,9-Jul,25
83024,10-Jul,10-Jul,28
83024,11-Jul,11-Jul,29
83024,12-Jul,12-Jul,32
83024,13-Jul,13-Jul,35
83024,14-Jul,14-Jul,36
83024,15-Jul,15-Jul,38
83024,16-Jul,16-Jul,38
83024,17-Jul,17-Jul,39
83024,18-Jul,18-Jul,40
83024,19-Jul,19-Jul,40
83024,20-Jul,20-Jul,40
83024,21-Jul,21-Jul,40
83024,22-Jul,22-Jul,40
83024,23-Jul,23-Jul,41
83024,24-Jul,24-Jul,40
83024,25-Jul,25-Jul,43
83024,26-Jul,26-Jul,44
83024,27-Jul,27-Jul,43
83024,28-Jul,28-Jul,43
83024,29-Jul,29-Jul,40
83024,30-Jul,30-Jul,40
83024,31-Jul,31-Jul,39
83024,1-Aug,1-Aug,40
83024,2-Aug,2-Aug,38
83024,3-Aug,3-Aug,41
83024,4-Aug,4-Aug,43
83024,5-Aug,5-Aug,42
83024,6-Aug,6-Aug,42
83024,7-Aug,7-Aug,43
83024,8-Aug,8-Aug,45
83024,9-Aug,9-Aug,44
83024,10-Aug,10-Aug,44
83024,11-Aug,11-Aug,46
83024,12-Aug,12-Aug,46
83024,13-Aug,13-Aug,47
83024,14-Aug,14-Aug,46
83024,15-Aug,15-Aug,46
83024,16-Aug,16-Aug,46
83024,17-Aug,17-Aug,44
83024,18-Aug,18-Aug,46
83024,19-Aug,19-Aug,45
83024,20-Aug,20-Aug,46
83024,21-Aug,21-Aug,47
83024,22-Aug,22-Aug,47
83024,23-Aug,23-Aug,48
83024,24-Aug,24-Aug,46
83024,25-Aug,25-Aug,47
83024,26-Aug,26-Aug,49
83024,27-Aug,27-Aug,51
83024,28-Aug,28-Aug,49
83024,29-Aug,29-Aug,49
83024,30-Aug,30-Aug,47
83024,31-Aug,31-Aug,44
83024,1-Sep,1-Sep,44
83024,2-Sep,2-Sep,41
83024,3-Sep,3-Sep,39
83024,4-Sep,4-Sep,37
83024,5-Sep,5-Sep,33
83024,6-Sep,6-Sep,32
83024,7-Sep,7-Sep,30
83024,8-Sep,8-Sep,29
83024,9-Sep,9-Sep,26
83024,10-Sep,10-Sep,22
83024,11-Sep,11-Sep,22
83024,12-Sep,12-Sep,21
83024,13-Sep,13-Sep,20
83024,14-Sep,14-Sep,19
83024,15-Sep,15-Sep,19
83024,16-Sep,16-Sep,18
83024,17-Sep,17-Sep,18
83024,18-Sep,18-Sep,17
83024,19-Sep,19-Sep,15
83024,20-Sep,20-Sep,13
83024,21-Sep,21-Sep,12
83024,22-Sep,22-Sep,11
83085,9-Jun,9-Jun,6.7
83085,10-Jun,10-Jun,9.7
83085,11-Jun,11-Jun,12.9
83085,12-Jun,12-Jun,16.2
83085,13-Jun,13-Jun,17.1
83085,14-Jun,14-Jun,16.7
83085,15-Jun,15-Jun,15.2
83085,16-Jun,16-Jun,17.4
83085,17-Jun,17-Jun,15.9
83085,18-Jun,18-Jun,17.8
83085,19-Jun,19-Jun,20.1
83085,20-Jun,20-Jun,20.8
83085,21-Jun,21-Jun,20.8
83085,22-Jun,22-Jun,28.8
83085,23-Jun,23-Jun,29.4
83085,24-Jun,24-Jun,33.3
83085,25-Jun,25-Jun,36.3
83085,26-Jun,26-Jun,33
83085,27-Jun,27-Jun,35.6
83085,28-Jun,28-Jun,37.4
83085,29-Jun,29-Jun,41.7
83085,30-Jun,30-Jun,45.3
83085,1-Jul,1-Jul,48.5
83085,2-Jul,2-Jul,49.7
83085,3-Jul,3-Jul,52.1
83085,4-Jul,4-Jul,51.7
83085,5-Jul,5-Jul,53.5
83085,6-Jul,6-Jul,58.1
83085,7-Jul,7-Jul,63.7
83085,8-Jul,8-Jul,66.4
83085,9-Jul,9-Jul,76.9
83085,10-Jul,10-Jul,79.2
83085,11-Jul,11-Jul,82.8
83085,12-Jul,12-Jul,84.1
83085,13-Jul,13-Jul,87
83085,14-Jul,14-Jul,87.2
83085,15-Jul,15-Jul,86.8
83085,16-Jul,16-Jul,87.3
83085,17-Jul,17-Jul,88.2
83085,18-Jul,18-Jul,92.6
83085,19-Jul,19-Jul,92.1
83085,20-Jul,20-Jul,93.5
83085,21-Jul,21-Jul,97.2
83085,22-Jul,22-Jul,100.2
83085,23-Jul,23-Jul,103.5
83085,24-Jul,24-Jul,103.7
83085,25-Jul,25-Jul,102.5
83085,26-Jul,26-Jul,99.3
83085,27-Jul,27-Jul,99.2
83085,28-Jul,28-Jul,99.4
83085,29-Jul,29-Jul,102.2
83085,30-Jul,30-Jul,105.2
83085,31-Jul,31-Jul,105
83085,1-Aug,1-Aug,106.6
83085,2-Aug,2-Aug,110.6
83085,3-Aug,3-Aug,115.5
83085,4-Aug,4-Aug,115.5
83085,5-Aug,5-Aug,115.3
83085,6-Aug,6-Aug,117.4
83085,7-Aug,7-Aug,116.6
83085,8-Aug,8-Aug,119.5
83085,9-Aug,9-Aug,121.2
83085,10-Aug,10-Aug,123.5
83085,11-Aug,11-Aug,125
83085,12-Aug,12-Aug,126.9
83085,13-Aug,13-Aug,129.2
83085,14-Aug,14-Aug,128.7
83085,15-Aug,15-Aug,128.6
83085,16-Aug,16-Aug,129.6
83085,17-Aug,17-Aug,129.7
83085,18-Aug,18-Aug,131.9
83085,19-Aug,19-Aug,134.1
83085,20-Aug,20-Aug,132.4
83085,21-Aug,21-Aug,133.5
83085,22-Aug,22-Aug,135.1
83085,23-Aug,23-Aug,134.4
83085,24-Aug,24-Aug,131.5
83085,25-Aug,25-Aug,133.2
83085,26-Aug,26-Aug,135.6
83085,27-Aug,27-Aug,137.6
83085,28-Aug,28-Aug,137.1
83085,29-Aug,29-Aug,135.5
83085,30-Aug,30-Aug,135.3
83085,31-Aug,31-Aug,132.57
83085,1-Sep,1-Sep,132.77
83085,2-Sep,2-Sep,134.57
83085,3-Sep,3-Sep,129.03
83085,4-Sep,4-Sep,128.2
83085,5-Sep,5-Sep,127.33
83085,6-Sep,6-Sep,125.3
83085,7-Sep,7-Sep,123.27
83085,8-Sep,8-Sep,123.43
83085,9-Sep,9-Sep,121.7
83085,10-Sep,10-Sep,119.3
83085,11-Sep,11-Sep,117.27
83085,12-Sep,12-Sep,109.4
83085,13-Sep,13-Sep,107.4
83085,14-Sep,14-Sep,104.1
83085,15-Sep,15-Sep,103.4
83085,16-Sep,16-Sep,101
83085,17-Sep,17-Sep,100.2
83085,18-Sep,18-Sep,96.5
83085,19-Sep,19-Sep,90.3
83085,20-Sep,20-Sep,88.4
83085,21-Sep,21-Sep,86.6
83085,22-Sep,22-Sep,84.4