,Year,Week,Resort,Visitors
0,2014,1,Mt. Baw Baw,555
1,2014,2,Mt. Baw Baw,804
2,2014,3,Mt. Baw Baw,993
3,2014,4,Mt. Baw Baw,2976
4,2014,5,Mt. Baw Baw,11112
5,2014,6,Mt. Baw Baw,13381
6,2014,7,Mt. Baw Baw,8832
7,2014,8,Mt. Baw Baw,9347
8,2014,9,Mt. Baw Baw,10071
9,2014,10,Mt. Baw Baw,11071
10,2014,11,Mt. Baw Baw,10079
11,2014,12,Mt. Baw Baw,7635
12,2014,13,Mt. Baw Baw,4681
13,2014,14,Mt. Baw Baw,1904
14,2014,15,Mt. Baw Baw,0
15,2015,1,Mt. Baw Baw,3185
16,2015,2,Mt. Baw Baw,2058
17,2015,3,Mt. Baw Baw,1745
18,2015,4,Mt. Baw Baw,2751
19,2015,5,Mt. Baw Baw,6748
20,2015,6,Mt. Baw Baw,8269
21,2015,7,Mt. Baw Baw,8219
22,2015,8,Mt. Baw Baw,8600
23,2015,9,Mt. Baw Baw,8932
24,2015,10,Mt. Baw Baw,10429
25,2015,11,Mt. Baw Baw,10927
26,2015,12,Mt. Baw Baw,9027
27,2015,13,Mt. Baw Baw,6236
28,2015,14,Mt. Baw Baw,4387
29,2015,15,Mt. Baw Baw,2247
30,2016,1,Mt. Baw Baw,1154
31,2016,2,Mt. Baw Baw,1298
32,2016,3,Mt. Baw Baw,2306
33,2016,4,Mt. Baw Baw,8796
34,2016,5,Mt. Baw Baw,7976
35,2016,6,Mt. Baw Baw,6614
36,2016,7,Mt. Baw Baw,5267
37,2016,8,Mt. Baw Baw,6394
38,2016,9,Mt. Baw Baw,6676
39,2016,10,Mt. Baw Baw,5593
40,2016,11,Mt. Baw Baw,3979
41,2016,12,Mt. Baw Baw,3909
42,2016,13,Mt. Baw Baw,1373
43,2016,14,Mt. Baw Baw,0
44,2016,15,Mt. Baw Baw,0
45,2017,1,Mt. Baw Baw,3569
46,2017,2,Mt. Baw Baw,798
47,2017,3,Mt. Baw Baw,846
48,2017,4,Mt. Baw Baw,3486
49,2017,5,Mt. Baw Baw,5981
50,2017,6,Mt. Baw Baw,9132
51,2017,7,Mt. Baw Baw,7286
52,2017,8,Mt. Baw Baw,5799
53,2017,9,Mt. Baw Baw,5331
54,2017,10,Mt. Baw Baw,6311
55,2017,11,Mt. Baw Baw,5884
56,2017,12,Mt. Baw Baw,4921
57,2017,13,Mt. Baw Baw,4086
58,2017,14,Mt. Baw Baw,5565
59,2017,15,Mt. Baw Baw,3409
60,2018,1,Mt. Baw Baw,2753
61,2018,2,Mt. Baw Baw,2102
62,2018,3,Mt. Baw Baw,5768
63,2018,4,Mt. Baw Baw,7058
64,2018,5,Mt. Baw Baw,11141
65,2018,6,Mt. Baw Baw,18031
66,2018,7,Mt. Baw Baw,8803
67,2018,8,Mt. Baw Baw,7966
68,2018,9,Mt. Baw Baw,8950
69,2018,10,Mt. Baw Baw,7621
70,2018,11,Mt. Baw Baw,6837
71,2018,12,Mt. Baw Baw,10011
72,2018,13,Mt. Baw Baw,6751
73,2018,14,Mt. Baw Baw,5793
74,2018,15,Mt. Baw Baw,4064
75,2019,1,Mt. Baw Baw,6393
76,2019,2,Mt. Baw Baw,4311
77,2019,3,Mt. Baw Baw,5341
78,2019,4,Mt. Baw Baw,6645
79,2019,5,Mt. Baw Baw,10595
80,2019,6,Mt. Baw Baw,9056
81,2019,7,Mt. Baw Baw,9515
82,2019,8,Mt. Baw Baw,10134
83,2019,9,Mt. Baw Baw,10039
84,2019,10,Mt. Baw Baw,4004
85,2019,11,Mt. Baw Baw,12128
86,2019,12,Mt. Baw Baw,10255
87,2019,13,Mt. Baw Baw,8502
88,2019,14,Mt. Baw Baw,6878
89,2019,15,Mt. Baw Baw,6089
90,2020,1,Mt. Baw Baw,1074
91,2020,2,Mt. Baw Baw,544
92,2020,3,Mt. Baw Baw,603
93,2020,4,Mt. Baw Baw,2168
94,2020,5,Mt. Baw Baw,4055
95,2020,6,Mt. Baw Baw,2945
96,2020,7,Mt. Baw Baw,1149
97,2020,8,Mt. Baw Baw,941
98,2020,9,Mt. Baw Baw,834
99,2020,10,Mt. Baw Baw,0
100,2020,11,Mt. Baw Baw,0
101,2020,12,Mt. Baw Baw,0
102,2020,13,Mt. Baw Baw,0
103,2020,14,Mt. Baw Baw,0
104,2020,15,Mt. Baw Baw,0
105,2021,1,Mt. Baw Baw,334
106,2021,2,Mt. Baw Baw,941
107,2021,3,Mt. Baw Baw,2614
108,2021,4,Mt. Baw Baw,8833
109,2021,5,Mt. Baw Baw,11910
110,2021,6,Mt. Baw Baw,2430
111,2021,7,Mt. Baw Baw,3
112,2021,8,Mt. Baw Baw,3274
113,2021,9,Mt. Baw Baw,1757
114,2021,10,Mt. Baw Baw,2392
115,2021,11,Mt. Baw Baw,1948
116,2021,12,Mt. Baw Baw,0
117,2021,13,Mt. Baw Baw,0
118,2021,14,Mt. Baw Baw,176
119,2021,15,Mt. Baw Baw,475
120,2022,1,Mt. Baw Baw,8513
121,2022,2,Mt. Baw Baw,6516
122,2022,3,Mt. Baw Baw,5609
123,2022,4,Mt. Baw Baw,10614
124,2022,5,Mt. Baw Baw,11092
125,2022,6,Mt. Baw Baw,9082
126,2022,7,Mt. Baw Baw,8570
127,2022,8,Mt. Baw Baw,7825
128,2022,9,Mt. Baw Baw,7810
129,2022,10,Mt. Baw Baw,6587
130,2022,11,Mt. Baw Baw,7939
131,2022,12,Mt. Baw Baw,6782
132,2022,13,Mt. Baw Baw,4750
133,2022,14,Mt. Baw Baw,3009
134,2022,15,Mt. Baw Baw,2262
135,2023,1,Mt. Baw Baw,1218
136,2023,2,Mt. Baw Baw,2458
137,2023,3,Mt. Baw Baw,7129
138,2023,4,Mt. Baw Baw,17116
139,2023,5,Mt. Baw Baw,14690
140,2023,6,Mt. Baw Baw,9419
141,2023,7,Mt. Baw Baw,10343
142,2023,8,Mt. Baw Baw,10041
143,2023,9,Mt. Baw Baw,7015
144,2023,10,Mt. Baw Baw,7481
145,2023,11,Mt. Baw Baw,4999
146,2023,12,Mt. Baw Baw,3680
147,2023,13,Mt. Baw Baw,1265
148,2023,14,Mt. Baw Baw,0
149,2023,15,Mt. Baw Baw,0
150,2024,1,Mt. Baw Baw,1558
151,2024,2,Mt. Baw Baw,1546
152,2024,3,Mt. Baw Baw,1695
153,2024,4,Mt. Baw Baw,4457
154,2024,5,Mt. Baw Baw,11079
155,2024,6,Mt. Baw Baw,9830
156,2024,7,Mt. Baw Baw,9456
157,2024,8,Mt. Baw Baw,8513
158,2024,9,Mt. Baw Baw,9635
159,2024,10,Mt. Baw Baw,8121
160,2024,11,Mt. Baw Baw,5977
161,2024,12,Mt. Baw Baw,3597
162,2024,13,Mt. Baw Baw,1500
163,2024,14,Mt. Baw Baw,0
164,2024,15,Mt. Baw Baw,0
165,2014,1,Mt. Stirling,60
166,2014,2,Mt. Stirling,42
167,2014,3,Mt. Stirling,30
168,2014,4,Mt. Stirling,165
169,2014,5,Mt. Stirling,645
170,2014,6,Mt. Stirling,1316
171,2014,7,Mt. Stirling,684
172,2014,8,Mt. Stirling,1250
173,2014,9,Mt. Stirling,1280
174,2014,10,Mt. Stirling,1653
175,2014,11,Mt. Stirling,902
176,2014,12,Mt. Stirling,847
177,2014,13,Mt. Stirling,522
178,2014,14,Mt. Stirling,267
179,2014,15,Mt. Stirling,66
180,2015,1,Mt. Stirling,39
181,2015,2,Mt. Stirling,63
182,2015,3,Mt. Stirling,51
183,2015,4,Mt. Stirling,27
184,2015,5,Mt. Stirling,69
185,2015,6,Mt. Stirling,240
186,2015,7,Mt. Stirling,714
187,2015,8,Mt. Stirling,558
188,2015,9,Mt. Stirling,1218
189,2015,10,Mt. Stirling,1371
190,2015,11,Mt. Stirling,1146
191,2015,12,Mt. Stirling,744
192,2015,13,Mt. Stirling,618
193,2015,14,Mt. Stirling,429
194,2015,15,Mt. Stirling,249
195,2016,1,Mt. Stirling,39
196,2016,2,Mt. Stirling,36
197,2016,3,Mt. Stirling,186
198,2016,4,Mt. Stirling,480
199,2016,5,Mt. Stirling,711
200,2016,6,Mt. Stirling,840
201,2016,7,Mt. Stirling,694
202,2016,8,Mt. Stirling,1326
203,2016,9,Mt. Stirling,1122
204,2016,10,Mt. Stirling,1149
205,2016,11,Mt. Stirling,708
206,2016,12,Mt. Stirling,735
207,2016,13,Mt. Stirling,198
208,2016,14,Mt. Stirling,102
209,2016,15,Mt. Stirling,87
210,2017,1,Mt. Stirling,96
211,2017,2,Mt. Stirling,33
212,2017,3,Mt. Stirling,72
213,2017,4,Mt. Stirling,132
214,2017,5,Mt. Stirling,162
215,2017,6,Mt. Stirling,387
216,2017,7,Mt. Stirling,962
217,2017,8,Mt. Stirling,702
218,2017,9,Mt. Stirling,1176
219,2017,10,Mt. Stirling,1317
220,2017,11,Mt. Stirling,1452
221,2017,12,Mt. Stirling,936
222,2017,13,Mt. Stirling,897
223,2017,14,Mt. Stirling,1023
224,2017,15,Mt. Stirling,408
225,2018,1,Mt. Stirling,192
226,2018,2,Mt. Stirling,180
227,2018,3,Mt. Stirling,339
228,2018,4,Mt. Stirling,474
229,2018,5,Mt. Stirling,810
230,2018,6,Mt. Stirling,1086
231,2018,7,Mt. Stirling,1269
232,2018,8,Mt. Stirling,1128
233,2018,9,Mt. Stirling,1719
234,2018,10,Mt. Stirling,1860
235,2018,11,Mt. Stirling,1452
236,2018,12,Mt. Stirling,1374
237,2018,13,Mt. Stirling,913
238,2018,14,Mt. Stirling,498
239,2018,15,Mt. Stirling,258
240,2019,1,Mt. Stirling,237
241,2019,2,Mt. Stirling,81
242,2019,3,Mt. Stirling,126
243,2019,4,Mt. Stirling,63
244,2019,5,Mt. Stirling,123
245,2019,6,Mt. Stirling,318
246,2019,7,Mt. Stirling,675
247,2019,8,Mt. Stirling,858
248,2019,9,Mt. Stirling,924
249,2019,10,Mt. Stirling,909
250,2019,11,Mt. Stirling,1455
251,2019,12,Mt. Stirling,1542
252,2019,13,Mt. Stirling,1083
253,2019,14,Mt. Stirling,522
254,2019,15,Mt. Stirling,363
255,2020,1,Mt. Stirling,126
256,2020,2,Mt. Stirling,27
257,2020,3,Mt. Stirling,24
258,2020,4,Mt. Stirling,93
259,2020,5,Mt. Stirling,171
260,2020,6,Mt. Stirling,438
261,2020,7,Mt. Stirling,108
262,2020,8,Mt. Stirling,127
263,2020,9,Mt. Stirling,98
264,2020,10,Mt. Stirling,9
265,2020,11,Mt. Stirling,0
266,2020,12,Mt. Stirling,0
267,2020,13,Mt. Stirling,0
268,2020,14,Mt. Stirling,0
269,2020,15,Mt. Stirling,0
270,2021,1,Mt. Stirling,216
271,2021,2,Mt. Stirling,69
272,2021,3,Mt. Stirling,99
273,2021,4,Mt. Stirling,315
274,2021,5,Mt. Stirling,697
275,2021,6,Mt. Stirling,103
276,2021,7,Mt. Stirling,0
277,2021,8,Mt. Stirling,468
278,2021,9,Mt. Stirling,774
279,2021,10,Mt. Stirling,834
280,2021,11,Mt. Stirling,0
281,2021,12,Mt. Stirling,0
282,2021,13,Mt. Stirling,15
283,2021,14,Mt. Stirling,33
284,2021,15,Mt. Stirling,618
285,2022,1,Mt. Stirling,1038
286,2022,2,Mt. Stirling,711
287,2022,3,Mt. Stirling,426
288,2022,4,Mt. Stirling,984
289,2022,5,Mt. Stirling,1071
290,2022,6,Mt. Stirling,660
291,2022,7,Mt. Stirling,1158
292,2022,8,Mt. Stirling,1032
293,2022,9,Mt. Stirling,819
294,2022,10,Mt. Stirling,1314
295,2022,11,Mt. Stirling,1577
296,2022,12,Mt. Stirling,975
297,2022,13,Mt. Stirling,609
298,2022,14,Mt. Stirling,357
299,2022,15,Mt. Stirling,85
300,2023,1,Mt. Stirling,54
301,2023,2,Mt. Stirling,82
302,2023,3,Mt. Stirling,422
303,2023,4,Mt. Stirling,710
304,2023,5,Mt. Stirling,678
305,2023,6,Mt. Stirling,844
306,2023,7,Mt. Stirling,589
307,2023,8,Mt. Stirling,673
308,2023,9,Mt. Stirling,1387
309,2023,10,Mt. Stirling,1495
310,2023,11,Mt. Stirling,2050
311,2023,12,Mt. Stirling,906
312,2023,13,Mt. Stirling,1069
313,2023,14,Mt. Stirling,0
314,2023,15,Mt. Stirling,0
315,2024,1,Mt. Stirling,0
316,2024,2,Mt. Stirling,12
317,2024,3,Mt. Stirling,106
318,2024,4,Mt. Stirling,122
319,2024,5,Mt. Stirling,426
320,2024,6,Mt. Stirling,122
321,2024,7,Mt. Stirling,1403
322,2024,8,Mt. Stirling,1596
323,2024,9,Mt. Stirling,2097
324,2024,10,Mt. Stirling,1632
325,2024,11,Mt. Stirling,1416
326,2024,12,Mt. Stirling,701
327,2024,13,Mt. Stirling,213
328,2024,14,Mt. Stirling,0
329,2024,15,Mt. Stirling,0
330,2014,1,Mt. Hotham,3483
331,2014,2,Mt. Hotham,1253
332,2014,3,Mt. Hotham,2992
333,2014,4,Mt. Hotham,9680
334,2014,5,Mt. Hotham,29628
335,2014,6,Mt. Hotham,36665
336,2014,7,Mt. Hotham,26465
337,2014,8,Mt. Hotham,21679
338,2014,9,Mt. Hotham,31019
339,2014,10,Mt. Hotham,30360
340,2014,11,Mt. Hotham,35923
341,2014,12,Mt. Hotham,32657
342,2014,13,Mt. Hotham,28855
343,2014,14,Mt. Hotham,18708
344,2014,15,Mt. Hotham,11117
345,2015,1,Mt. Hotham,4997
346,2015,2,Mt. Hotham,1797
347,2015,3,Mt. Hotham,3605
348,2015,4,Mt. Hotham,13197
349,2015,5,Mt. Hotham,22318
350,2015,6,Mt. Hotham,27894
351,2015,7,Mt. Hotham,22620
352,2015,8,Mt. Hotham,17562
353,2015,9,Mt. Hotham,27850
354,2015,10,Mt. Hotham,31159
355,2015,11,Mt. Hotham,35122
356,2015,12,Mt. Hotham,30754
357,2015,13,Mt. Hotham,25367
358,2015,14,Mt. Hotham,30754
359,2015,15,Mt. Hotham,12005
360,2016,1,Mt. Hotham,4590
361,2016,2,Mt. Hotham,1860
362,2016,3,Mt. Hotham,8368
363,2016,4,Mt. Hotham,17433
364,2016,5,Mt. Hotham,21302
365,2016,6,Mt. Hotham,25173
366,2016,7,Mt. Hotham,20774
367,2016,8,Mt. Hotham,19557
368,2016,9,Mt. Hotham,27232
369,2016,10,Mt. Hotham,28044
370,2016,11,Mt. Hotham,31774
371,2016,12,Mt. Hotham,28211
372,2016,13,Mt. Hotham,20295
373,2016,14,Mt. Hotham,14224
374,2016,15,Mt. Hotham,10134
375,2017,1,Mt. Hotham,6288
376,2017,2,Mt. Hotham,2644
377,2017,3,Mt. Hotham,5756
378,2017,4,Mt. Hotham,17281
379,2017,5,Mt. Hotham,29573
380,2017,6,Mt. Hotham,33467
381,2017,7,Mt. Hotham,23812
382,2017,8,Mt. Hotham,25596
383,2017,9,Mt. Hotham,29214
384,2017,10,Mt. Hotham,33652
385,2017,11,Mt. Hotham,35159
386,2017,12,Mt. Hotham,32732
387,2017,13,Mt. Hotham,26326
388,2017,14,Mt. Hotham,21960
389,2017,15,Mt. Hotham,14990
390,2018,1,Mt. Hotham,6271
391,2018,2,Mt. Hotham,3489
392,2018,3,Mt. Hotham,6911
393,2018,4,Mt. Hotham,17524
394,2018,5,Mt. Hotham,31435
395,2018,6,Mt. Hotham,37737
396,2018,7,Mt. Hotham,25157
397,2018,8,Mt. Hotham,24150
398,2018,9,Mt. Hotham,30515
399,2018,10,Mt. Hotham,33527
400,2018,11,Mt. Hotham,38115
401,2018,12,Mt. Hotham,35284
402,2018,13,Mt. Hotham,28187
403,2018,14,Mt. Hotham,21947
404,2018,15,Mt. Hotham,15320
405,2019,1,Mt. Hotham,5948
406,2019,2,Mt. Hotham,3019
407,2019,3,Mt. Hotham,5820
408,2019,4,Mt. Hotham,13150
409,2019,5,Mt. Hotham,26572
410,2019,6,Mt. Hotham,36382
411,2019,7,Mt. Hotham,23978
412,2019,8,Mt. Hotham,24998
413,2019,9,Mt. Hotham,31360
414,2019,10,Mt. Hotham,29531
415,2019,11,Mt. Hotham,39955
416,2019,12,Mt. Hotham,37905
417,2019,13,Mt. Hotham,33186
418,2019,14,Mt. Hotham,27192
419,2019,15,Mt. Hotham,20169
420,2020,1,Mt. Hotham,2016
421,2020,2,Mt. Hotham,1346
422,2020,3,Mt. Hotham,1416
423,2020,4,Mt. Hotham,4172
424,2020,5,Mt. Hotham,9325
425,2020,6,Mt. Hotham,15316
426,2020,7,Mt. Hotham,8953
427,2020,8,Mt. Hotham,4401
428,2020,9,Mt. Hotham,3476
429,2020,10,Mt. Hotham,1043
430,2020,11,Mt. Hotham,0
431,2020,12,Mt. Hotham,0
432,2020,13,Mt. Hotham,0
433,2020,14,Mt. Hotham,0
434,2020,15,Mt. Hotham,0
435,2021,1,Mt. Hotham,3992
436,2021,2,Mt. Hotham,9086
437,2021,3,Mt. Hotham,16742
438,2021,4,Mt. Hotham,28047
439,2021,5,Mt. Hotham,35270
440,2021,6,Mt. Hotham,13693
441,2021,7,Mt. Hotham,6750
442,2021,8,Mt. Hotham,18858
443,2021,9,Mt. Hotham,27982
444,2021,10,Mt. Hotham,16215
445,2021,11,Mt. Hotham,15773
446,2021,12,Mt. Hotham,4200
447,2021,13,Mt. Hotham,4200
448,2021,14,Mt. Hotham,5617
449,2021,15,Mt. Hotham,11309
450,2022,1,Mt. Hotham,16726
451,2022,2,Mt. Hotham,17273
452,2022,3,Mt. Hotham,17846
453,2022,4,Mt. Hotham,32710
454,2022,5,Mt. Hotham,39827
455,2022,6,Mt. Hotham,34135
456,2022,7,Mt. Hotham,34204
457,2022,8,Mt. Hotham,32560
458,2022,9,Mt. Hotham,34634
459,2022,10,Mt. Hotham,37253
460,2022,11,Mt. Hotham,34672
461,2022,12,Mt. Hotham,33389
462,2022,13,Mt. Hotham,29398
463,2022,14,Mt. Hotham,21856
464,2022,15,Mt. Hotham,18981
465,2023,1,Mt. Hotham,5318
466,2023,2,Mt. Hotham,8241
467,2023,3,Mt. Hotham,18549
468,2023,4,Mt. Hotham,33179
469,2023,5,Mt. Hotham,34315
470,2023,6,Mt. Hotham,44648
471,2023,7,Mt. Hotham,35497
472,2023,8,Mt. Hotham,34086
473,2023,9,Mt. Hotham,34067
474,2023,10,Mt. Hotham,35521
475,2023,11,Mt. Hotham,37115
476,2023,12,Mt. Hotham,30944
477,2023,13,Mt. Hotham,22969
478,2023,14,Mt. Hotham,15149
479,2023,15,Mt. Hotham,9148
480,2024,1,Mt. Hotham,2079
481,2024,2,Mt. Hotham,4269
482,2024,3,Mt. Hotham,6033
483,2024,4,Mt. Hotham,11558
484,2024,5,Mt. Hotham,27353
485,2024,6,Mt. Hotham,31258
486,2024,7,Mt. Hotham,36427
487,2024,8,Mt. Hotham,24401
488,2024,9,Mt. Hotham,25904
489,2024,10,Mt. Hotham,25139
